iter	MultiClass
0	1.580628617
1	1.554383889
2	1.529955059
3	1.507182749
4	1.486342841
5	1.467271768
6	1.447806102
7	1.43032828
8	1.413540005
9	1.397337666
10	1.382591243
11	1.368923779
12	1.355347357
13	1.341764763
14	1.328971024
15	1.317168948
16	1.305629419
17	1.294560977
18	1.283629541
19	1.272466529
20	1.262703771
21	1.253592862
22	1.243876177
23	1.234144501
24	1.225510962
25	1.216254782
26	1.207574619
27	1.199202856
28	1.19125754
29	1.183151411
30	1.175528383
31	1.168538687
32	1.161032714
33	1.153973578
34	1.147030176
35	1.140334992
36	1.133630549
37	1.127346161
38	1.121017684
39	1.115311297
40	1.10948058
41	1.103231793
42	1.097312899
43	1.091604528
44	1.08569335
45	1.080268248
46	1.074608705
47	1.069275198
