iter	Passed	Remaining
0	521	521125
1	796	397236
2	1087	361471
3	1383	344539
4	1670	332502
5	1993	330312
6	2285	324267
7	2637	327067
8	2950	324896
9	3236	320373
10	3524	316927
11	3817	314316
12	4143	314580
13	4452	313578
14	4745	311642
15	5022	308913
16	5330	308227
17	5615	306369
18	5909	305106
19	6196	303605
20	6488	302491
21	6787	301735
22	7077	300626
23	7388	300445
24	7702	300389
25	8027	300708
26	8328	300135
27	8629	299559
28	8932	299070
29	9226	298315
30	9542	298287
31	9842	297737
32	10126	296736
33	10406	295679
34	10695	294889
35	10988	294245
36	11266	293232
37	11543	292238
38	11837	291676
39	12117	290829
40	12404	290148
41	12676	289143
42	12941	288034
43	13239	287667
44	13527	287086
45	13838	286997
46	14115	286205
47	14425	286098
48	14690	285111
49	14984	284702
50	15272	284189
51	15575	283957
52	15836	282973
53	16121	282423
54	16391	281637
55	16654	280745
56	16931	280104
57	17201	279371
58	17467	278588
59	17766	278344
60	18074	278226
61	18366	277866
62	18642	277263
63	18949	277132
64	19260	277059
65	19528	276352
66	19772	275343
67	20069	275069
68	20340	274451
69	20603	273726
70	20882	273240
71	21156	272681
72	21415	271952
73	21704	271595
74	21990	271215
75	22271	270774
76	22522	269978
77	22839	269973
78	23095	269247
79	23397	269069
80	23656	268400
81	23962	268261
82	24232	267725
83	24524	267431
84	24934	268410
85	25239	268240
86	25613	268797
87	25926	268691
88	26265	268856
89	26587	268834
90	26986	269564
91	27312	269565
92	27636	269531
93	27937	269267
94	28260	269219
95	28527	268634
96	28816	268263
97	29114	267973
98	29409	267660
99	29712	267414
100	29994	266979
101	30288	266658
102	30605	266539
103	30919	266386
104	31187	265834
105	31500	265674
106	31792	265333
107	32178	265774
108	32546	266048
109	32857	265850
110	33150	265506
111	33468	265357
112	33822	265489
113	34135	265302
114	34459	265187
115	34724	264624
116	35037	264430
117	35348	264211
118	35635	263824
119	35938	263552
120	36221	263128
121	36544	263001
122	36836	262644
123	37105	262131
124	37381	261671
125	37695	261475
126	37994	261171
127	38343	261218
128	38669	261096
